hour,load_kwh
0,0.914
1,0.764
2,0.683
3,0.622
4,0.595
5,0.589
6,0.634
7,0.763
8,0.872
9,0.939
10,1.018
11,1.105
12,1.201
13,1.303
14,1.389
15,1.485
16,1.607
17,1.753
18,1.847
19,1.833
20,1.746
21,1.642
22,1.511
23,1.189
