hour,load_kwh
0,1.210
1,1.064
2,1.003
3,0.992
4,1.022
5,1.084
6,1.201
7,1.363
8,1.518
9,1.550
10,1.489
11,1.399
12,1.309
13,1.238
14,1.163
15,1.092
16,1.092
17,1.177
18,1.332
19,1.487
20,1.583
21,1.612
22,1.566
23,1.394
