hour,load_kwh
0,1.206
1,1.056
2,0.995
3,0.988
4,1.018
5,1.071
6,1.162
7,1.273
8,1.408
9,1.515
10,1.542
11,1.488
12,1.406
13,1.344
14,1.281
15,1.216
16,1.214
17,1.284
18,1.415
19,1.537
20,1.614
21,1.636
22,1.590
23,1.421
