T,qubits,tuning_seed,optimal_mass,feasible_mass,best_feasible_mass,achieved_H,entropy,participation,identifiable
4,8,1,0.013334509002499948,0.1852239038624819,0.013334509002499948,0.5649772081278368,4.92093492353721,116.50466606533759,1.0
4,8,2,0.013428090106434256,0.18336191407468025,0.013428090106434256,0.5399090931268592,4.986200410426941,127.68921042992405,1.0
4,8,3,0.011924495184285542,0.10854443846409297,0.011924495184285542,1.0279836205325417,4.827534893284566,75.0791693300846,1.0
4,8,4,0.015606147784201708,0.20325277294421432,0.015606147784201708,0.5756974235133608,4.9107822203943305,110.1574084726466,1.0
4,8,5,0.008284923567251903,0.13833129664959276,0.008284923567251903,0.6785821718246946,5.045664000235744,136.75815791074754,1.0
4,8,6,0.008901433881596883,0.14508796773311036,0.008901433881596883,0.6365410582846088,4.900120173693066,116.35898493931835,1.0
4,8,7,0.014393686319490052,0.19337057252098422,0.014393686319490052,0.5394584273824707,4.95948360136045,123.64753547408756,1.0
4,8,8,0.013341414271824045,0.18524919949976568,0.013341414271824045,0.565424411907973,4.921210388759095,116.53608967560345,1.0
4,8,9,0.008182393844284689,0.13718560726700188,0.008182393844284689,0.6961063569686965,5.078876984372824,141.45576094294358,1.0
4,8,10,0.007956075369026287,0.13639252923103085,0.007956075369026287,0.7189167727600362,5.124652713185814,146.350732354215,1.0
4,8,11,0.012603557791150268,0.17898718108403797,0.012603557791150268,0.5606857220355883,4.941641565487313,121.84805105588066,1.0
4,8,12,0.016049026756310446,0.2035916230934982,0.016049026756310446,0.505815682463515,4.860347064468525,110.24051495573302,1.0
4,8,13,0.016277751936615483,0.20708070866846134,0.016277751936615483,0.55494244141387,4.878003593843593,107.03167993710997,1.0
4,8,14,0.0018496262899406048,0.09311288248175947,0.0018496262899406048,1.0597329593926639,4.792453286222091,66.97602457458393,1.0
4,8,15,0.01163853970440351,0.1719650061256375,0.01163853970440351,0.6359989231827492,5.106703790027366,139.67844823961488,1.0
4,8,16,0.008840303767095185,0.1444888701126777,0.008840303767095185,0.638489812446094,4.912820190665754,118.21007693213477,1.0
4,8,17,0.014783489987950513,0.19429762615908575,0.014783489987950513,0.5141904974692124,4.916245411868458,118.11500287707946,1.0
4,8,18,0.010919896087860122,0.16476243141880856,0.010919896087860122,0.6390540516823577,5.1127128901229515,144.1716409432594,1.0
4,8,19,0.011548382052174792,0.16593327346285283,0.011548382052174792,0.5770158007493265,4.927458401339587,118.0703073870128,1.0
4,8,20,0.013183106851789984,0.18394667550666732,0.013183106851789984,0.5609560484261371,4.922683488472201,117.47166160918377,1.0
5,10,1,0.005017269466485311,0.1463632320178411,0.005017269466485311,0.9856997119149102,6.230583085355404,408.48226853502996,1.0
5,10,2,0.004849460550532639,0.14898902449535514,0.004849460550532639,0.9027344812279376,6.241722623589714,430.3796119863819,1.0
5,10,3,1.4953795093910835e-05,0.02568407250108249,1.4953795093910835e-05,1.724495956030766,6.125632450494764,251.84217614141394,0.08
5,10,4,0.004423351232313945,0.14758361229176511,0.004423351232313945,1.034400305711432,6.32373439779247,435.6838985860286,1.0
5,10,5,1.9904143494600658e-07,0.061891576067708266,1.9904143494600658e-07,1.5115006774954323,3.5380557119137666,32.650986884016035,0.0
5,10,6,0.0029053786133524276,0.0962328208953814,0.0029053786133524276,1.1766270066989026,6.462310166743219,547.4550631737228,1.0
