instance_seed,alpha,reps,tuning_seed,achieved_H,ideal_opt_mass,feasibility,qubo_min_is_optimum,params
3,0.003,2,1,-0.00454418,0.48526717,0.03348204,False,"[2.4941628093498327, 2.670191577257714, 3.4294239989427004, 6.672735401154323]"
3,0.003,2,2,0.00092276,0.46530404,0.04075887,False,"[2.5049921101498662, 2.691444608236635, 3.71224921229064, 6.184380276941246]"
3,0.003,2,3,0.02442656,0.38274704,0.05618039,False,"[2.5601890467732558, -0.4374606864523072, 3.8166305957327022, 4.928977672922673]"
3,0.003,2,4,0.00368721,0.45209374,0.04264908,False,"[2.5070324570739864, 2.6779588487325245, 3.519342212234025, 6.055958910180961]"
3,0.003,2,5,0.0041869,0.4564373,0.04398794,False,"[2.517651790175939, 2.7022747072561946, 3.9144430049101673, 5.977540201517476]"
3,0.003,2,6,0.01142507,0.42724366,0.04247987,False,"[-0.5902174506972125, 2.714957645216182, 3.7353902516699793, 5.6210306761155096]"
3,0.003,2,7,0.00476515,0.44641197,0.04114258,False,"[-0.6340262664515552, 2.675524292731714, 3.372186796710051, 6.049660585587652]"
3,0.003,2,8,0.0042073,0.45041017,0.04212776,False,"[2.5131911615867653, 2.6881765690729855, 3.586883553374729, 6.00438505552248]"
3,0.003,2,9,-0.0021459,0.47661912,0.03513133,False,"[2.4949099481596617, 2.7065596368734957, 3.710069349027713, 6.415262965006995]"
3,0.003,2,10,-0.00803863,0.503807,0.02963294,False,"[-0.6538617761995954, 2.7020892163393273, 3.759401520551497, 6.868636711994157]"
3,0.003,2,11,0.01788702,0.4038875,0.05492782,False,"[2.537420054538614, 2.6989818158760257, 3.83037576657864, 5.236266237269028]"
3,0.003,2,12,0.00021189,0.46745022,0.04219237,False,"[2.491309895821144, 2.663963689484619, 3.5098436260286676, 6.304499474956587]"
3,0.003,2,13,0.00468369,0.44765539,0.04361558,False,"[2.5005671594759957, 2.6671837109580228, 3.3982979173612256, 6.050764008522781]"
3,0.003,2,14,0.00222822,0.46438499,0.045244,False,"[2.5118439488219573, 2.68249903931278, 3.851854344224486, 6.0989452401303845]"
3,0.003,2,15,0.00494387,0.45515019,0.04612736,False,"[2.5197400931013356, 2.696557307869086, 3.956668725446684, 5.934773335426278]"
3,0.003,2,16,0.00885897,0.43181111,0.04543854,False,"[-0.6186877698206688, 2.6575453825413016, 3.300368028630424, 5.8540136147485]"
3,0.003,2,17,-0.00448344,0.4862981,0.03583133,False,"[2.490589406156094, 2.664824785924193, 3.475472155375264, 6.651493808219658]"
