instance_seed,alpha,reps,tuning_seed,achieved_H,ideal_opt_mass,feasibility,qubo_min_is_optimum,params
6,0.003,2,1,-0.27905397,0.08874222,0.02697617,False,"[2.604654811739806, 2.767696092104407, 2.5838127989496273, 5.796938507381604]"
6,0.003,2,2,-0.27835147,0.07677009,0.00893838,False,"[2.004679175277724, 0.5709910781908403, 4.692101332692784, -1.6472801675478494]"
6,0.003,2,3,-0.27877015,0.08861848,0.02776438,False,"[-0.5102194431474977, 2.785909172213052, 2.8354623648597297, 5.668396773892558]"
6,0.003,2,4,-0.27910703,0.07231708,0.00573786,False,"[1.9612870531960402, 0.6126808023210306, 4.921607104930876, -1.7290690118472622]"
6,0.003,2,5,-0.28105299,0.07503919,0.00529985,False,"[1.9866147563415133, 0.5742841945846081, 4.637156679876022, -2.0813204068461006]"
6,0.003,2,6,-0.27745325,0.07364503,0.01175676,False,"[1.9513835938525537, 0.6132051955226328, 4.412322636575486, -1.6001679851285935]"
6,0.003,2,7,-0.27457841,0.06769892,0.00681503,False,"[1.2803763787556453, 2.624325513621514, -1.70026673686124, 4.873058707006228]"
6,0.003,2,8,-0.27899719,0.07297413,0.01027279,False,"[1.9351868844839821, 0.6207603382418747, 4.203205224828022, -1.8974208055592907]"
6,0.003,2,9,-0.27465315,0.08555985,0.02575396,False,"[2.725219915039728, 2.862672318589308, 3.865919211167238, 4.7474309866572195]"
6,0.003,2,10,-0.27508268,0.08591395,0.02830232,False,"[2.7055808851609413, 2.8089286199959997, 2.9776216667362676, 4.978752684960276]"
6,0.003,2,11,-0.28210013,0.07521397,0.00489158,False,"[1.1804009531009623, 2.6192869937257206, -3.2241188590378114, 3.5732946222148803]"
6,0.003,2,12,-0.280199,0.07385954,0.00673936,False,"[1.9692239323617815, 0.5880537090394532, 4.573425849509418, -1.9397070872972784]"
6,0.003,2,13,-0.27236116,0.08423839,0.0289436,False,"[2.7390191147888063, 2.8023611995942317, 2.7271888898981587, 4.619869986629875]"
6,0.003,2,14,-0.27118575,0.08305981,0.02788493,False,"[-0.3669659227159556, 2.793350790684018, 2.827169376632661, 4.364635165465731]"
6,0.003,2,15,-0.27908567,0.08839484,0.02781334,False,"[2.5835013779723317, 2.755568552660712, 2.554245798110584, 5.817305284189082]"
6,0.003,2,16,-0.27848985,0.07155241,0.00590137,False,"[1.2317214863644634, 2.632052846281817, -2.338526311538607, 4.286929165386129]"
6,0.003,2,17,-0.28057082,0.07407589,0.00605171,False,"[1.9696386593225341, 3.732832326689841, 4.577141845468254, -2.003756368790763]"
6,0.003,2,18,-0.26465306,0.07725729,0.02490817,False,"[2.888268281817514, -0.3291594294462699, 3.782048531671391, 2.467572839496338]"
6,0.003,2,19,-0.26498715,0.07839447,0.02364121,False,"[2.8859186286066545, 2.8281662206057545, 3.8740923713514737, 2.484676906209718]"
6,0.003,2,20,-0.27194612,0.0835851,0.0281471,False,"[2.75516652330038, -0.3189291058281712, 3.1638800708813335, 4.3264918602330384]"
6,0.003,2,21,-0.26357152,0.07500312,0.02002836,False,"[2.8884806726025154, -0.294550965446915, 4.619418947986206, 1.6759523295310328]"
6,0.003,2,22,-0.27782509,0.08742773,0.02747193,False,"[-0.5709886721090571, 2.7504620652839713, 2.231169179413226, 5.747568978999427]"
6,0.003,2,23,-0.26834486,0.08095447,0.02456232,False,"[2.8237520083536736, 2.8386194027809744, 3.6649856026147, 3.348614062186651]"
6,0.003,2,24,-0.27547744,0.08662287,0.02712065,False,"[-0.43023221153806573, 2.821871822184137, 3.1419101639137588, 4.997199184891357]"
6,0.003,2,25,-0.27233109,0.08285447,0.03004255,False,"[2.6644020607048113, 2.7465134953137724, 1.9052810961879587, 5.114469100315847]"
6,0.003,2,26,-0.2792528,0.07299086,0.00432189,False,"[1.2068606474806454, 2.6514809565280393, -2.5367072933873223, 4.410513935962343]"
6,0.003,2,27,-0.27102992,0.07063166,0.015038,False,"[1.8998957677719, 3.8426133489689525, 4.893149216326168, -0.8358579542678867]"
6,0.003,2,28,-0.275415,0.08578574,0.0292096,False,"[2.689643974912711, 2.800237704950382, 2.9015774200651605, 5.069073529519571]"
6,0.003,2,29,-0.26399287,0.07688899,0.02488865,False,"[2.907689023044585, 2.803904775549691, 3.773040539410306, 2.332873432203802]"
6,0.003,2,30,-0.27695026,0.08785699,0.02685687,False,"[2.6904770442507475, 2.834437951149297, 3.3213882110609974, 5.240802862651567]"
6,0.003,2,31,-0.28072693,0.07512144,0.00815788,False,"[1.9661542068326427, 0.5772661922839634, 4.145536371496279, -2.1948652219676195]"
6,0.003,2,32,-0.28160784,0.0729739,0.00622631,False,"[1.1902654806254345, 2.5604768366284234, -4.134332462794665, 2.3867462015809147]"
6,0.003,2,33,-0.27862255,0.0714458,0.00574229,False,"[1.2285675781992393, 2.6272119851983717, -2.3676393283091612, 4.327646219741697]"
6,0.003,2,34,-0.28327132,0.07804094,0.00388726,False,"[1.1445047185392192, 2.62976226918637, -3.6468044783209836, 3.372527077119925]"
6,0.003,2,35,-0.28132403,0.09209147,0.02091843,False,"[2.491634030317834, -0.39850255448384586, 2.210943808095436, 6.413910141409671]"
6,0.003,2,36,-0.27963673,0.0735236,0.00950747,False,"[1.950464241848648, 0.5946804736196307, 4.216134409815158, -1.9804748647585029]"
6,0.003,2,37,-0.27786639,0.07433068,0.00863373,False,"[1.9730977473940496, 0.6038954763804112, 4.766137544811652, -1.5539424800843886]"
6,0.003,2,38,-0.26872198,0.06518782,0.00985034,False,"[1.3905671878423078, 2.626569084655454, -0.873767159007093, 5.23529165765301]"
6,0.003,2,39,-0.2819943,0.07727891,0.00392905,False,"[1.1571962230509998, 2.6461607200298958, -3.136196057687051, 3.9975891487329873]"
6,0.003,2,40,-0.26686264,0.08085261,0.02488635,False,"[2.8676043429553078, 2.8106610167343837, 3.305268234849895, 3.2776182233263986]"
6,0.006,2,1,-0.16207675,0.09822018,0.11719618,False,"[2.712101568722915, 2.910527017774022, 1.7606025305387334, 4.601019399516487]"
6,0.006,2,2,-0.1661605,0.09990926,0.10548187,False,"[2.1728878249937247, 3.645357230874948, 2.935981364700289, -1.347962429812777]"
6,0.006,2,3,-0.17190633,0.10378737,0.13118107,False,"[2.4110710223874032, 2.7554778804432867, 2.4411195508746637, 4.800780629190207]"
6,0.006,2,4,-0.16452044,0.10404899,0.08980805,False,"[2.1689880290970898, 0.5683130836178778, 3.7691864601357428, -0.9894206528204955]"
6,0.006,2,5,-0.17335237,0.10510535,0.13453213,False,"[2.417478674733129, 2.7402118018027184, 2.7019233132184137, 4.866672215995915]"
6,0.006,2,6,-0.15091829,0.08273287,0.12928519,False,"[-0.28163806182485157, 2.9649572233909063, 2.4606696674662065, 2.9721964511053374]"
6,0.006,2,7,-0.16395578,0.09102002,0.13008604,False,"[2.3571426386175456, 2.771051056499566, 1.7370217928731466, 4.345888105604773]"
6,0.006,2,8,-0.16399298,0.0907472,0.13133195,False,"[2.3576849566959446, 2.7636622203008474, 1.7769001023678277, 4.310125489175864]"
6,0.006,2,9,-0.17205897,0.10207922,0.13623323,False,"[2.413341089180041, 2.746823454147794, 2.624498635555339, 4.740229039858409]"
6,0.006,2,10,-0.16243327,0.08236093,0.14820977,False,"[2.3465441997594105, 2.7409744911841467, 2.1971090552915142, 3.9726992365924056]"
6,0.006,2,11,-0.15286649,0.08361036,0.11076025,False,"[1.0750287101240343, 2.7345341514607195, -1.2314236873185855, 2.814606650297019]"
6,0.006,2,12,-0.16821132,0.10773731,0.08856877,False,"[2.163617905369844, 0.5371819928968071, 3.377422264357925, -1.3092038720800816]"
6,0.006,2,13,-0.15965262,0.09477006,0.11944192,False,"[2.76647682218308, 2.932253177848754, 1.9890131844946273, 4.249761616818012]"
6,0.006,2,14,-0.16081759,0.08458146,0.13697625,False,"[2.3399921049007832, 2.7620421254377043, 1.6613198975165917, 4.040462951644196]"
6,0.006,2,15,-0.16135601,0.09693796,0.11832624,False,"[2.6784486623800743, 2.8934594582032154, 1.5886599066059375, 4.572424618857176]"
6,0.006,2,16,-0.16478915,0.102146,0.1023275,False,"[0.9614877789703323, 2.7043840551170693, -2.352264338402285, 2.0893614892197694]"
6,0.006,2,17,-0.14654067,0.07641949,0.1366933,False,"[2.9082919820707973, -0.1974557880325111, 2.43305779478124, 2.251624293510595]"
6,0.006,2,18,-0.17058544,0.09879767,0.13720282,False,"[2.3976042243756717, 2.734842041306388, 2.5274922763980987, 4.618833639555567]"
6,0.006,2,19,-0.16760861,0.09248649,0.14057041,False,"[2.3796932602051846, 2.738623731106692, 2.357202485714593, 4.364119985905326]"
6,0.006,2,20,-0.16373116,0.09529929,0.10929674,False,"[2.163742635096377, 0.5286405816272587, 3.091324202330521, -1.0663109744419057]"
6,0.006,2,21,-0.14435372,0.07408083,0.13767457,False,"[2.9229024385232214, 2.9503762372942233, 2.657524582034674, 1.8094023760980293]"
6,0.006,2,22,-0.16839448,0.11244881,0.08433308,False,"[-2.18462118099951, 2.680246518588026, -2.8450696947417327, 1.9877141701337455]"
6,0.006,2,23,-0.14884736,0.08207937,0.12602222,False,"[2.8657711512308794, 2.9822151481294363, 2.7781337308487517, 2.6739897682771643]"
6,0.006,2,24,-0.17042996,0.09687351,0.14490705,False,"[2.4132914302552044, -0.4183546020380612, 2.897346378862305, 4.585850516857416]"
6,0.006,2,25,-0.15515969,0.08006542,0.13318952,False,"[2.3277065894494187, 2.7826577859424484, 1.1180989410539417, 3.92477273709706]"
6,0.006,2,26,-0.16698154,0.10928812,0.10845899,False,"[2.6328272849904937, 2.8854303357184383, 1.7939863149721127, 5.206351192290565]"
6,0.006,2,27,-0.15314976,0.07956265,0.12278121,False,"[2.0204240844309447, 3.8772422891039087, 3.286985827966918, -0.5803290390770623]"
6,0.006,2,28,-0.15054157,0.07920834,0.13821125,False,"[2.8386027159424607, 2.908513561760552, 1.6013181625919353, 3.248571460116289]"
6,0.006,2,29,-0.14588819,0.07274478,0.14484422,False,"[2.825227480443769, 2.8646572364291, 1.0324888683929263, 3.1855575619861765]"
6,0.006,2,30,-0.16171295,0.08750784,0.13228674,False,"[2.3610029697696335, 2.780834441430451, 1.6109269645511113, 4.1960593262852015]"
6,0.006,2,31,-0.16740594,0.10562784,0.09031775,False,"[2.157641842136404, 0.540485056227245, 3.378301472781773, -1.2317283013094413]"
6,0.006,2,32,-0.15231319,0.08480591,0.12719543,False,"[2.8501684804636414, 2.9520064538461046, 2.3135190781525314, 3.195152890983018]"
6,0.006,2,33,-0.14656056,0.0703271,0.14128799,False,"[2.3125486224234293, 2.779061409437684, 0.6894907800931598, 3.474839171551541]"
6,0.006,2,34,-0.16991309,0.09623757,0.14223111,False,"[2.404276046072457, 2.7335445049942013, 2.6724880559179733, 4.52517936971485]"
6,0.006,2,35,-0.14652904,0.07324885,0.14549868,False,"[-0.2961495504970716, -0.2642024821395433, 1.172894092509378, 3.1278524022634997]"
6,0.006,2,36,-0.15728413,0.07864923,0.14262069,False,"[2.3179822676855912, 2.7600296687016734, 1.5488860215668514, 3.781022133616578]"
6,0.006,2,37,-0.16212704,0.08402797,0.14310486,False,"[2.3454597752433166, 2.7425052447088505, 1.9696691786780156, 4.000010761366696]"
6,0.006,2,38,-0.16833784,0.10970946,0.09029638,False,"[0.9571684244418499, 2.671021659021512, -2.8463565887289177, 1.8455111532085242]"
6,0.006,2,39,-0.1537212,0.08263537,0.1252512,False,"[2.4289559291026435, 2.796041212917857, 0.9326611501206787, 4.033762173464949]"
6,0.006,2,40,-0.14439958,0.07260931,0.14280846,False,"[-0.20055447959762146, 2.918674121025184, 2.2466177109675565, 2.0181962144898553]"
6,0.01,2,1,-0.09647572,0.09394471,0.2290301,False,"[2.706423440113752, 2.9296209985248742, 1.5733756638040066, 4.511777850684417]"
6,0.01,2,2,-0.0988418,0.07950448,0.26434798,False,"[2.4699045720288, 2.7668304310278056, 1.891533477400588, 3.4476782780481328]"
6,0.01,2,3,-0.05168769,0.0662549,0.21400225,False,"[-0.2892422843329737, 3.0657605920666184, 2.8214011409192263, 3.149139601427128]"
6,0.01,2,4,-0.10305625,0.07983063,0.27632477,False,"[2.484117984903619, 2.750607936349205, 2.2161908929592347, 3.5396843207523374]"
6,0.01,2,5,-0.06736502,0.05335304,0.23009646,False,"[2.3189449059060827, 2.77098690891685, 1.0568257089873054, 2.4340502205806076]"
6,0.01,2,6,-0.07124126,0.06676199,0.22826808,False,"[-0.29337045012309937, 3.002465540816529, 1.8957345317936714, 2.718961792689462]"
6,0.01,2,7,-0.08600725,0.07575908,0.23921141,False,"[2.4536419123272184, 2.8149756591831525, 1.3324268204570202, 3.298205212101441]"
6,0.01,2,8,-0.07771216,0.0676731,0.21551264,False,"[-1.0927724646902888, 3.8533893134913835, 2.2737273908240163, -0.5204506053095397]"
6,0.01,2,9,-0.10445056,0.08293998,0.280084,False,"[2.497833715506068, 2.7521667668100713, 2.306564207823694, 3.6423762938705413]"
6,0.01,2,10,-0.09558377,0.07308501,0.26068171,False,"[-0.6981954151327283, -0.3808973996490025, 1.8198167708862438, 3.26054417022684]"
6,0.01,2,11,-0.09043716,0.08902046,0.2000683,False,"[2.1301596342327334, 0.6214325641724114, 2.7468265267303047, -0.8246745769277306]"
6,0.01,2,12,-0.09003821,0.08325611,0.2157665,False,"[2.1803912275817985, 0.5513965885011617, 2.384428615780523, -0.897906645641674]"
6,0.01,2,13,-0.09255956,0.08849686,0.22826254,False,"[2.7185792224409844, 2.9412583792510696, 1.564899849012132, 4.083741167749486]"
6,0.01,2,14,-0.08054001,0.06086816,0.24249033,False,"[2.3787937700365727, 2.759073091041244, 1.4000056823294564, 2.7719377430439085]"
6,0.01,2,15,-0.09472572,0.09129247,0.22874265,False,"[2.6997856170720937, 2.9280993375514854, 1.5027111371071815, 4.284904011059597]"
6,0.01,2,16,-0.0821449,0.08423819,0.22274167,False,"[2.7845520102417014, -0.1463773283985716, 2.125691808112158, 4.008704336990802]"
6,0.01,2,17,-0.0668639,0.05728272,0.22474612,False,"[2.3471600555576444, -0.3355491721371814, 0.8082718745661177, 2.6087876546367794]"
6,0.01,2,18,-0.08234893,0.0737064,0.23031687,False,"[2.796879544126561, 2.976471279881458, 1.5981604571946173, 3.3681930718023136]"
6,0.01,2,19,-0.09320597,0.06955237,0.25907591,False,"[2.439022321759889, 2.749404388883496, 1.8165390383586069, 3.116070908755775]"
6,0.01,2,20,-0.05491154,0.05127355,0.23057622,False,"[2.9696669983572304, -0.18502668836823025, 1.7102536645035138, 1.1543631998101733]"
6,0.01,2,21,-0.05743575,0.05528816,0.22976169,False,"[2.9121360813713606, 3.020744454018548, 2.132263458042305, 1.4609320063169786]"
6,0.01,2,22,-0.05142821,0.04734481,0.24561036,False,"[1.040347263468636, 1.7865413894224675, 2.5448121015652183, -0.28342359486465757]"
6,0.01,2,23,-0.08924037,0.0819862,0.22850832,False,"[2.7034343883423544, 2.930397061288347, 1.2893942497550661, 3.8339507449143064]"
6,0.01,2,24,-0.09680316,0.07153818,0.26599698,False,"[2.4547222299616047, 2.7428851998268087, 1.9968322821390847, 3.2202143004472314]"
6,0.01,2,25,-0.10541081,0.09402106,0.29178442,False,"[-0.6051099460839793, 2.763895474239554, 2.6137566831734818, 4.091903378776493]"
6,0.01,2,26,-0.08130361,0.07278875,0.22926239,False,"[2.7594018478996416, 2.948898640579456, 1.2943595739653475, 3.264777535232728]"
6,0.01,2,27,-0.08894184,0.07905337,0.22142138,False,"[2.186938534051957, 3.6869437953448108, 2.295161565212208, -0.8313499061865122]"
6,0.01,2,28,-0.09377308,0.06993776,0.26017365,False,"[2.4425123103919613, 2.7503069456885854, 1.8460313621899742, 3.1293375411473967]"
6,0.01,2,29,-0.07576307,0.05572674,0.24124125,False,"[2.3566202905584848, -0.41077813821995934, 1.4054331290639617, 2.584191717902805]"
6,0.01,2,30,-0.09587106,0.09500489,0.22907631,False,"[2.7121282709478054, 2.9333430743316695, 1.6656610590169152, 4.446707485311209]"
6,0.01,2,31,-0.10428001,0.09704173,0.29332645,False,"[2.545794455643139, 2.762577360331972, 2.6802295775056058, 4.256695946680979]"
6,0.01,2,32,-0.0835851,0.07521869,0.22937148,False,"[2.7650149127951154, 2.94837944197298, 1.3543214585637386, 3.407074082024429]"
6,0.01,2,33,-0.07487215,0.05938115,0.23514913,False,"[2.379841260659952, -0.3826375883040193, 1.2549821204573013, 2.6367961443454533]"
6,0.01,2,34,-0.10398831,0.08251852,0.27736759,False,"[2.491076498199213, 2.7561703748744564, 2.2231757199083995, 3.619164987594019]"
