T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,weight_mode,alpha,alpha_star,surrogate_optimal,ideal_opt_mass,qaoa_evals,maxiter,evals_censored,params,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
2,6,0,1,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.031494140625,0.2333984375,9.201584255002672,0.00015264200192177668,0.2247226257325495,True,5,4096,default,1.0,0.021658937606326218,True,0.028800783683181865,1492,1000,False,3.44221132;2.17451334,0.015625,0.22472262573254953,2.015625,False,True
2,6,0,2,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.0625,0.305908203125,23.44430293100595,7.603999983984977e-05,0.2247226257325495,True,5,4096,default,1.0,0.021658937606326218,True,0.06047988343472755,3514,1000,False,2.77311013;0.321999213;0.902789508;1.09715484,0.015625,0.22472262573254953,4.0,False,True
2,6,0,3,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.004150390625,0.199951171875,28.804975597995508,5.5399003031197935e-05,0.2247226257325495,True,5,4096,default,1.0,0.021658937606326218,True,0.005858362935274536,3956,1000,False,0.652551772;-0.124395708;2.87844828;0.643692917;2.47043879;1.83467781,0.015625,0.22472262573254953,0.265625,False,True
3,10,0,1,0.004226668082960489,0.15897533353438922,False,0.15474866545142874,3661.2448012013756,0.0,0.106201171875,13.98056331499538,6.390699854819104e-05,0.004226668082960478,True,5,4096,default,1.0,0.02090487778781981,True,2.3143070865980197e-05,1364,1000,False,2.35983869;0.640318064,0.0009765625,0.004440787646779558,0.25,True,True
3,10,0,2,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.000244140625,0.0986328125,44.95138886899804,6.0846999986097217e-05,0.004226668082960478,True,5,4096,default,1.0,0.02090487778781981,True,0.0008389477564690558,3772,1000,False,2.84060443;3.55904617;3.09010068;3.04974672,0.0009765625,0.004440787646779558,0.25,False,True
3,10,0,3,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.0048828125,0.144775390625,45.623326860993984,6.474000110756606e-05,0.004226668082960478,True,5,4096,default,1.0,0.02090487778781981,True,0.005074541011171599,3511,1000,False,1.78770663;1.77264825;2.96453992;0.836271501;1.37605394;1.94445501,0.0009765625,0.004440787646779558,5.0,False,True
4,14,0,1,-0.16647159836980444,-0.16647159836980446,True,-2.7755575615628914e-17,-1.6672859447154428e-14,0.00048828125,0.136962890625,24.901459157001227,6.95650014677085e-05,-0.16647159836980446,True,5,4096,default,1.0,0.014305613012812659,True,0.0003572602159539782,995,1000,False,2.93055921;0.779075071,6.103515625e-05,-0.10235091285487313,8.0,False,False
4,14,0,2,-0.16647159836980444,-0.09881997027661789,False,0.06765162809318655,40.63854060132433,0.0,0.055908203125,87.09988246200373,7.067199476296082e-05,-0.16647159836980446,True,5,4096,default,1.0,0.014305613012812659,True,7.811068337067609e-07,2728,1000,False,3.0270564;0.721221531;1.35405822;1.90431342,6.103515625e-05,-0.10235091285487313,4.0,True,False
4,14,0,3,-0.16647159836980444,-0.09704604118656476,False,0.06942555718323967,41.704145249459245,0.0,0.044677734375,115.72622876199603,7.866499800002202e-05,-0.16647159836980446,True,5,4096,default,1.0,0.014305613012812659,True,1.8254806518617717e-06,3031,1000,False,0.738023706;0.167483577;3.25444266;2.50157789;0.456780115;2.98221456,6.103515625e-05,-0.10235091285487313,4.0,True,False
5,18,0,1,-0.14775608040467883,-0.23204328817857695,False,nan,nan,0.0,0.028564453125,24.416502115993353,8.222600445151329e-05,-0.1477560804046788,True,5,4096,default,1.0,0.021406485264068013,True,4.4249145829551275e-10,217,1000,False,3.82310412;0.877934118,3.814697265625e-06,-0.05810188495023625,64.0,True,False
5,18,0,2,-0.14775608040467883,-0.1200514588580547,False,0.027704621546624134,18.750241256228424,0.0,0.085693359375,73.2621586949972,9.364300058223307e-05,-0.1477560804046788,True,5,4096,default,1.0,0.021406485264068013,True,2.5759139126973267e-05,506,1000,False,2.93402385;-0.037155914;1.0602779;1.54188217,3.814697265625e-06,-0.05810188495023625,64.0,True,False
5,18,0,3,-0.14775608040467883,0.00732476457652026,False,0.1550808449811991,104.95733546562617,0.0,0.072998046875,184.39666097000008,8.87179994606413e-05,-0.1477560804046788,True,5,4096,default,1.0,0.021406485264068013,True,2.1933554230348245e-05,1218,1000,False,0.549526205;2.7413051;0.185565682;3.15595221;2.10869106;1.93122496,3.814697265625e-06,-0.05810188495023625,64.0,True,False
