T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,weight_mode,alpha,alpha_star,surrogate_optimal,ideal_opt_mass,qaoa_evals,maxiter,evals_censored,params,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
2,6,0,1,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.031494140625,0.2333984375,4.9722752689995104,5.7344004744663835e-05,0.2247226257325495,True,5,4096,default,1.0,0.021658937606326218,True,0.028800783683181865,854,200,False,3.44221132;2.17451334,0.015625,0.22472262573254953,2.015625,False,True
2,6,0,2,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.001220703125,0.197265625,5.306517592005548,0.00011539299885043874,0.2247226257325495,True,5,4096,default,1.0,0.021658937606326218,True,0.0010707733567389666,926,200,False,0.75327231;3.38445796;0.655747573;0.191891693,0.015625,0.22472262573254953,0.078125,False,True
2,6,0,3,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.0009765625,0.19140625,6.043791030002467,6.997300079092383e-05,0.2247226257325495,True,5,4096,default,1.0,0.021658937606326218,True,0.0019726995184918563,1000,200,True,0.735945663;-0.0615875357;2.85618271;0.64147264;2.48697549;1.82072928,0.015625,0.22472262573254953,0.0625,False,True
2,6,1,1,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.00341796875,0.247802734375,4.415605176000099,4.102200182387605e-05,0.2810076264969501,True,5,4096,default,1.0,0.025730118356804683,True,0.002252367162705171,857,200,False,2.39039901;0.645370419,0.015625,0.28100762649695005,0.21875,False,True
2,6,1,2,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.00048828125,0.12255859375,5.061011294994387,6.979899626458064e-05,0.2810076264969501,True,5,4096,default,1.0,0.025730118356804683,True,8.974677369148923e-05,909,200,False,1.67478023;3.9350716;2.97395428;4.4034105,0.015625,0.28100762649695005,0.03125,False,True
2,6,1,3,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.008544921875,0.291259765625,5.735750202999043,6.97979994583875e-05,0.2810076264969501,True,5,4096,default,1.0,0.025730118356804683,True,0.010769867880192421,1000,200,True,1.77957982;1.98842859;3.00943154;0.826810967;1.40346117;1.9272972,0.015625,0.28100762649695005,0.546875,False,True
2,6,2,1,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.06201171875,0.30224609375,3.4970365449989913,5.24059942108579e-05,0.2995402179723933,True,5,4096,default,1.0,0.018701985097741933,True,0.06261330022280483,660,200,False,2.83993214;1.79688069,0.015625,0.2995402179723933,3.96875,False,True
2,6,2,2,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.000244140625,0.230224609375,3.3228283659991575,6.857399421278387e-05,0.2995402179723933,True,5,4096,default,1.0,0.018701985097741933,True,0.00037887543881423157,601,200,False,4.08048706;1.23872618;2.90429853;0.846000293,0.015625,0.2995402179723933,0.015625,False,True
2,6,2,3,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.07080078125,0.327880859375,6.116932558004919,7.090999861247838e-05,0.2995402179723933,True,5,4096,default,1.0,0.018701985097741933,True,0.07211698180234608,1000,200,True,1.28131257;3.08458179;1.43927965;2.68404686;1.06993847;0.763407298,0.015625,0.2995402179723933,4.53125,False,True
3,10,0,1,0.004226668082960489,0.013455294594120894,False,0.009228626511160406,218.3428253655629,0.0,0.085205078125,6.558083424002689,7.907899998826906e-05,0.004226668082960478,True,5,4096,default,1.0,0.02090487778781981,True,0.00013188539751299105,791,200,False,2.39445682;2.34088728,0.0009765625,0.004440787646779558,0.25,True,True
3,10,0,2,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.000732421875,0.085693359375,7.553872609998507,4.701100260717794e-05,0.004226668082960478,True,5,4096,default,1.0,0.02090487778781981,True,0.000862825860511873,852,200,False,2.76841436;3.6396755;3.08591081;3.0529706,0.0009765625,0.004440787646779558,0.75,False,True
3,10,0,3,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.000244140625,0.08984375,9.297680126001069,5.0578993977978826e-05,0.004226668082960478,True,5,4096,default,1.0,0.02090487778781981,True,4.196085460964248e-05,880,200,False,1.50357048;2.77805457;1.14647564;2.24593091;2.21354431;1.92604407,0.0009765625,0.004440787646779558,0.25,False,True
3,10,1,1,-0.05983493856314634,-0.05983493856314635,True,-1.3877787807814457e-17,-2.3193452088479444e-14,0.00439453125,0.18603515625,6.03837174000364,4.610999894794077e-05,-0.05983493856314635,True,5,4096,default,1.0,0.015623735343897972,True,0.0052672712373995735,729,200,False,2.88927;1.66335955,0.0009765625,-0.05931138091810793,4.5,False,True
3,10,1,2,-0.05983493856314634,0.05919312311555758,False,0.11902806167870392,198.9273567200016,0.0,0.10498046875,7.150686043998576,5.275000148685649e-05,-0.05983493856314635,True,5,4096,default,1.0,0.015623735343897972,True,6.811894316814453e-06,793,200,False,4.81310363;2.35865541;1.22379068;3.10861968,0.0009765625,-0.05931138091810793,0.25,True,True
3,10,1,3,-0.05983493856314634,-0.03237011328325336,False,0.027464825279892982,45.90098350465956,0.0,0.075927734375,9.864612766999926,4.690000059781596e-05,-0.05983493856314635,True,5,4096,default,1.0,0.015623735343897972,True,0.00012792613825581754,895,200,False,3.06526273;2.25356468;2.89125336;0.840031302;1.0177413;0.343943387,0.0009765625,-0.05931138091810793,0.25,True,True
3,10,2,1,-0.004368300816757986,-0.004368300816757997,True,-1.0408340855860843e-17,-2.3826978251890584e-13,0.001953125,0.15234375,6.644134155001666,5.018299998482689e-05,-0.004368300816757997,True,5,4096,default,1.0,0.017231279608563965,True,0.0017422573326307089,717,200,False,4.4813601;1.3488548,0.0009765625,-0.0037652606111054187,2.0,False,True
3,10,2,2,-0.004368300816757986,-0.004368300816757997,True,-1.0408340855860843e-17,-2.3826978251890584e-13,0.002197265625,0.140869140625,11.227617867996742,5.372099985834211e-05,-0.004368300816757997,True,5,4096,default,1.0,0.017231279608563965,True,0.003038654782525094,1000,200,True,1.90808107;1.42587087;1.76780472;2.00690508,0.0009765625,-0.0037652606111054187,2.25,False,True
3,10,2,3,-0.004368300816757986,-0.004368300816757997,True,-1.0408340855860843e-17,-2.3826978251890584e-13,0.000244140625,0.098876953125,11.709405059998971,5.427400174085051e-05,-0.004368300816757997,True,5,4096,default,1.0,0.017231279608563965,True,0.00012906075812236798,944,200,False,2.23756516;0.152418537;2.95387033;2.00574541;1.33595548;2.92221865,0.0009765625,-0.0037652606111054187,0.25,False,True
4,14,0,1,-0.16647159836980444,-0.16647159836980446,True,-2.7755575615628914e-17,-1.6672859447154428e-14,0.00048828125,0.136962890625,13.277133562995004,6.243700045160949e-05,-0.16647159836980446,True,5,4096,default,1.0,0.014305613012812659,True,0.0003572602159539782,576,200,False,2.93055921;0.779075071,6.103515625e-05,-0.10235091285487313,8.0,False,False
4,14,0,2,-0.16647159836980444,-0.09704604118656476,False,0.06942555718323967,41.704145249459245,0.0,0.05615234375,23.339192242994613,6.549899990204722e-05,-0.16647159836980446,True,5,4096,default,1.0,0.014305613012812659,True,2.5372987494894934e-06,804,200,False,3.20934007;0.591150768;0.27705367;2.59723681,6.103515625e-05,-0.10235091285487313,4.0,True,False
4,14,0,3,-0.16647159836980444,-0.12581210856498246,False,0.04065948980482198,24.424280299453788,0.0,0.047607421875,38.47690335399966,7.213799835881218e-05,-0.16647159836980446,True,5,4096,default,1.0,0.014305613012812659,True,1.853190927710291e-06,1000,200,True,0.738015746;0.167485444;3.25438853;2.50155055;0.456755891;2.98213927,6.103515625e-05,-0.10235091285487313,4.0,True,False
4,14,1,1,-0.17414214371739756,-0.0267868975346867,False,0.14735524618271084,84.61779729887947,0.0,0.058837890625,22.97432983500039,7.981099770404398e-05,-0.1741421437173976,True,5,4096,default,1.0,0.018362397737345708,True,2.895510690817311e-10,829,200,False,0.860029315;0.978626931,6.103515625e-05,-0.0975644929829848,4.0,True,False
