T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,weight_mode,alpha,alpha_star,surrogate_optimal,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
2,6,0,1,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.059814453125,0.31787109375,3.878794028001721,9.116799628827721e-05,0.2247226257325495,True,5,4096,alphastar,0.021658937606326218,0.021658937606326218,True,,,,,
2,6,0,2,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.141357421875,0.418701171875,8.43897069999366,0.00011164099851157516,0.2247226257325495,True,5,4096,alphastar,0.021658937606326218,0.021658937606326218,True,,,,,
2,6,0,3,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.081298828125,0.3544921875,10.870171967995702,0.0001208440080517903,0.2247226257325495,True,5,4096,alphastar,0.021658937606326218,0.021658937606326218,True,,,,,
2,6,1,1,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.06005859375,0.3173828125,2.499591158994008,0.0001902880030684173,0.2810076264969501,True,5,4096,alphastar,0.025730118356804683,0.025730118356804683,True,,,,,
2,6,1,2,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.13037109375,0.4287109375,8.762907354001072,0.0002668369997991249,0.2810076264969501,True,5,4096,alphastar,0.025730118356804683,0.025730118356804683,True,,,,,
2,6,1,3,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.152099609375,0.49072265625,11.204472291006823,0.00011680199531838298,0.2810076264969501,True,5,4096,alphastar,0.025730118356804683,0.025730118356804683,True,,,,,
2,6,2,1,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.06103515625,0.316650390625,2.3348027579922928,7.598400407005101e-05,0.2995402179723933,True,5,4096,alphastar,0.018701985097741933,0.018701985097741933,True,,,,,
