instance_seed,alpha,arm,tuning_seed,achieved_H,ideal_mass
2,0.021,cobyla-5,101,0.4007028610843495,0.04955802877649674
2,0.021,cobyla-5,102,0.4004317110190304,0.04866533103994468
2,0.021,cobyla-5,103,0.4156586504599323,0.04377139046140241
2,0.021,cobyla-5,104,0.29295930434118816,0.0800768973411751
2,0.021,cobyla-5,105,0.3222506984005737,0.06475606964038778
2,0.021,cobyla-5,106,0.3458320578122529,0.06466628218314298
2,0.021,cobyla-5,107,0.315213595530618,0.07168856296107234
2,0.021,cobyla-5,108,0.29713792732770167,0.08600001335588218
2,0.021,cobyla-5,109,0.31210762439714407,0.0710674221260099
2,0.021,cobyla-5,110,0.39008164186651784,0.05202867168425134
2,0.021,cobyla-25,101,0.2922961296089532,0.08164370093051619
2,0.021,cobyla-25,102,0.29245905930852467,0.08280833163508684
2,0.021,cobyla-25,103,0.31242345089853435,0.06956629640602292
2,0.021,cobyla-25,104,0.29295930434118816,0.0800768973411751
2,0.021,cobyla-25,105,0.3222506984005737,0.06475606964038778
2,0.021,cobyla-25,106,0.3127464388497765,0.06950598947762059
2,0.021,cobyla-25,107,0.292650091949141,0.08320165255979405
2,0.021,cobyla-25,108,0.29713792732770167,0.08600001335588218
2,0.021,cobyla-25,109,0.29258019649917033,0.08309709030071027
2,0.021,cobyla-25,110,0.29229420104451864,0.0816497671266585
2,0.021,cobyla-50,101,0.2922961296089532,0.08164370093051619
2,0.021,cobyla-50,102,0.29245905930852467,0.08280833163508684
2,0.021,cobyla-50,103,0.31242345089853435,0.06956629640602292
2,0.021,cobyla-50,104,0.2922831812415724,0.08204419766774211
2,0.021,cobyla-50,105,0.29265206706723773,0.08320017974913688
2,0.021,cobyla-50,106,0.29263792343103,0.08057837464120107
2,0.021,cobyla-50,107,0.292650091949141,0.08320165255979405
2,0.021,cobyla-50,108,0.2922905487266357,0.08213657988642079
2,0.021,cobyla-50,109,0.29258019649917033,0.08309709030071027
2,0.021,cobyla-50,110,0.29229420104451864,0.0816497671266585
2,0.021,spsa,101,0.5820492147623734,0.02964720457597962
2,0.021,spsa,102,0.6201981605817728,0.02431147214356799
2,0.021,spsa,103,0.404741819261611,0.04962165780556434
2,0.021,spsa,104,0.5397073235107488,0.026358975940130078
2,0.021,spsa,105,0.4115167800660411,0.04469541914411904
2,0.021,spsa,106,0.36015810822124866,0.05401123110909268
2,0.021,spsa,107,0.6449542553863232,0.013218155761465457
2,0.021,spsa,108,0.5254900037987076,0.028820850723522806
2,0.021,spsa,109,0.5732196577012879,0.032134675230662546
2,0.021,spsa,110,0.5631356254884017,0.02965345436696742
2,0.021,lbfgs-sv,101,0.3119072273722477,0.07047715378254352
2,0.021,lbfgs-sv,102,0.2922797781682046,0.08191586769081222
2,0.021,lbfgs-sv,103,0.31190722733830784,0.07047697558687963
2,0.021,lbfgs-sv,104,0.2922797781551274,0.08191565296564687
2,0.021,lbfgs-sv,105,0.31190722732905507,0.07047689157302918
2,0.021,lbfgs-sv,106,0.31190722732963494,0.07047692700761869
2,0.021,lbfgs-sv,107,0.31190722732924,0.07047689564191371
2,0.021,lbfgs-sv,108,0.32296346862808567,0.06500165230237408
2,0.021,lbfgs-sv,109,0.29227977821471496,0.0819159782283038
2,0.021,lbfgs-sv,110,0.31913201828144233,0.19887691818871567
2,0.021,transfer,101,0.31249968000219785,0.06965363833232008
2,0.021,transfer,102,0.31227951058073417,0.06969768139425776
2,0.021,transfer,103,0.3123588198978318,0.06962352666843796
2,0.021,transfer,104,0.31223139949240913,0.06973873245359848
2,0.021,transfer,105,0.31233942496714234,0.06956549341151769
2,0.021,transfer,106,0.31784129303210074,0.0662401284344003
2,0.021,transfer,107,0.3125615535271645,0.06936184575989962
2,0.021,transfer,108,0.31248990288598527,0.06945311357336173
2,0.021,transfer,109,0.31241655628266896,0.06959282979411788
2,0.021,transfer,110,0.31250127986011,0.06955103986494152
2,0.03,cobyla-5,101,0.49396086506786885,0.05496628121234721
2,0.03,cobyla-5,102,0.49756393392002674,0.0569495497043032
2,0.03,cobyla-5,103,0.5343903945003591,0.04458066141839016
2,0.03,cobyla-5,104,0.37857350708203186,0.07961078060012787
2,0.03,cobyla-5,105,0.3785714801199529,0.07994653999924323
2,0.03,cobyla-5,106,0.4599296930372484,0.0642569309297576
2,0.03,cobyla-5,107,0.4866476046703093,0.054960539878889575
2,0.03,cobyla-5,108,0.37857861123533865,0.07956185152127193
2,0.03,cobyla-5,109,0.41855900032772186,0.07267708056275358
2,0.03,cobyla-5,110,0.4905321841904895,0.05529478185583196
2,0.03,cobyla-25,101,0.37878690855798036,0.08057185608114044
2,0.03,cobyla-25,102,0.3785622259357653,0.07977497151074404
