T,m,seed,reps,dp_cost,qaoa_cost,exact_match,gap_abs,gap_pct,opt_prob_mass,feasibility_rate,qaoa_time_s,dp_time_s,brute_cost,brute_matches_dp,n_starts,shots,uniform_opt_mass,uniform_best_cost,mass_ratio,mass_ratio_is_upper_bound,shots_cover_space
2,6,0,1,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.031494140625,0.2333984375,5.570516243999009,0.00012488000356825069,0.2247226257325495,True,5,4096,0.015625,0.22472262573254953,2.015625,False,True
2,6,0,2,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.001220703125,0.197265625,6.674537730003067,0.00018034700042335317,0.2247226257325495,True,5,4096,0.015625,0.22472262573254953,0.078125,False,True
2,6,0,3,0.22472262573254953,0.2247226257325495,True,-2.7755575615628914e-17,-1.2351037428986711e-14,0.0009765625,0.19140625,6.621274150005775,0.00010882899368880317,0.2247226257325495,True,5,4096,0.015625,0.22472262573254953,0.0625,False,True
2,6,1,1,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.00341796875,0.247802734375,5.397837780001282,0.00014392700541066006,0.2810076264969501,True,5,4096,0.015625,0.28100762649695005,0.21875,False,True
2,6,1,2,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.00048828125,0.12255859375,6.113100408998434,8.471299952361733e-05,0.2810076264969501,True,5,4096,0.015625,0.28100762649695005,0.03125,False,True
2,6,1,3,0.2810076264969501,0.2810076264969501,True,0.0,0.0,0.008544921875,0.291259765625,7.271351178002078,8.644800254842266e-05,0.2810076264969501,True,5,4096,0.015625,0.28100762649695005,0.546875,False,True
2,6,2,1,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.06201171875,0.30224609375,4.213241552999534,0.0001418879983248189,0.2995402179723933,True,5,4096,0.015625,0.2995402179723933,3.96875,False,True
2,6,2,2,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.000244140625,0.230224609375,4.4664274680035305,0.00011031699978047982,0.2995402179723933,True,5,4096,0.015625,0.2995402179723933,0.015625,False,True
2,6,2,3,0.2995402179723933,0.2995402179723933,True,0.0,0.0,0.07080078125,0.327880859375,6.842619098002615,8.544499723939225e-05,0.2995402179723933,True,5,4096,0.015625,0.2995402179723933,4.53125,False,True
3,10,0,1,0.004226668082960489,0.013455294594120894,False,0.009228626511160406,218.3428253655629,0.0,0.085205078125,7.232831476998399,0.00011906099825864658,0.004226668082960478,True,5,4096,0.0009765625,0.004440787646779558,0.25,True,True
3,10,0,2,0.004226668082960489,0.004226668082960478,True,-1.0408340855860843e-17,-2.462540386793401e-13,0.000732421875,0.085693359375,8.218561474001035,8.117299876175821e-05,0.004226668082960478,True,5,4096,0.0009765625,0.004440787646779558,0.75,False,True
