instance_seed,alpha,reps,tuning_seed,achieved_H,ideal_opt_mass,feasibility,qubo_min_is_optimum,params
2,0.003,2,1,0.00695739,0.09355048,0.04673831,False,"[2.4285977062273454, 2.7362795295681037, 2.739061721529581, 6.54515566001973]"
2,0.003,2,2,0.01266015,0.08129151,0.02023111,False,"[1.9941970675167977, 0.5810203139395477, 4.730184596992135, -1.9476117510869213]"
2,0.003,2,3,0.00674621,0.09268225,0.04925773,False,"[-0.6930158860496328, 2.737264475944283, 2.954687497515968, 6.462517521846727]"
2,0.003,2,4,0.01616327,0.07714778,0.02554218,False,"[1.9611018904116206, 0.6153634964920904, 4.770002344230366, -1.476426510097793]"
2,0.003,2,5,0.01015045,0.08226795,0.02077852,False,"[1.9895954373647435, 0.5464787123747039, 4.055548863387579, -2.5969198330290393]"
2,0.003,2,6,0.00782174,0.08968317,0.05737239,False,"[-0.6998434706145682, 2.730325457406207, 3.4220234220240098, 6.211449055662134]"
2,0.003,2,7,0.00637847,0.09404768,0.04600749,False,"[2.4433289928416007, 2.731477419091313, 2.810930000485586, 6.616228094463104]"
2,0.003,2,8,0.0108283,0.08358904,0.02041408,False,"[2.0130007470492006, 0.5435617192057496, 4.402265197539776, -2.319718807118672]"
2,0.003,2,9,0.01585414,0.08549526,0.04687172,False,"[2.6790765727928845, 2.842140639510807, 3.8820303015932076, 5.163302339838321]"
2,0.003,2,10,0.01130416,0.08478152,0.05728731,False,"[2.531613873894097, 2.7813607203736765, 3.5248217806624127, 5.784606923802306]"
2,0.003,2,11,0.00867009,0.08575838,0.01688238,False,"[1.1335380823742824, 2.638066455426158, -3.6039362692369754, 3.4554106109350204]"
2,0.003,2,12,0.01433272,0.07807555,0.02223666,False,"[1.9787655717118682, 0.5826785987929227, 4.810518526627965, -1.7011873270017943]"
2,0.003,2,13,0.01672738,0.08368248,0.05009669,False,"[2.6707189871262975, 2.8062115921442357, 3.2146695061668513, 5.027159044028695]"
2,0.003,2,14,0.01031201,0.08785499,0.05407484,False,"[-0.6904966925868505, 2.7344834486126652, 2.705865934951354, 5.987893900887959]"
2,0.003,2,15,0.01148895,0.08739734,0.05162782,False,"[2.4654131574899187, 2.7389173492147445, 2.4162964442192254, 5.957199229882125]"
2,0.003,2,16,0.01244509,0.07860645,0.01833045,False,"[1.2117754658114115, 2.6316362465586356, -2.5340630229461243, 4.259861936963585]"
2,0.003,2,17,0.01309271,0.07952631,0.02423662,False,"[1.9802366555256896, 0.5757444784176529, 4.4419353597237, -1.9366237312654129]"
2,0.003,2,18,0.02675151,0.07911589,0.03810109,False,"[2.857858761806708, -0.29848715901020006, 4.182178178976126, 2.6584326972461083]"
2,0.003,2,19,0.02309674,0.08098492,0.04626105,False,"[-0.35058729703430475, 2.8038234238240056, 3.0888666474211046, 3.98603355769383]"
2,0.003,2,20,0.02367927,0.07731307,0.05554712,False,"[-0.4626576954206035, 2.7350433067889637, 1.9255973111005877, 4.66292004412963]"
2,0.003,2,21,0.02517474,0.07875103,0.04907332,False,"[2.809683974351877, 2.7681887408114987, 2.609766999505172, 3.9668675522293686]"
2,0.003,2,22,0.01483108,0.08390322,0.01784177,False,"[1.1630339877921068, 2.659809534937053, -2.1768376231059827, 4.9029909570575345]"
2,0.003,2,23,0.02466613,0.08100868,0.04272941,False,"[2.823450143945515, 2.8377897927337434, 3.611805064673006, 3.4019882023758603]"
2,0.003,2,24,0.01112913,0.08523814,0.05790429,False,"[-0.6557265866883862, 2.735700338021216, 3.062245762289473, 5.794575321840952]"
2,0.003,2,25,0.00992217,0.08968505,0.04727232,False,"[2.461160876934149, 2.721585713692316, 2.4023260093625596, 6.235331680232069]"
2,0.003,2,26,0.0132189,0.08172762,0.01756393,False,"[1.1848795143065478, 2.654242379371882, -2.3955822049643145, 4.578628124046516]"
2,0.003,2,27,0.01529317,0.08435026,0.0522599,False,"[2.4584583905723165, 2.725015682091682, 1.9499429489836573, 5.7073891669784205]"
2,0.003,2,28,0.00840037,0.08909348,0.05542835,False,"[2.4570339885892953, 2.7367099127525343, 3.177048705530935, 6.140440728336199]"
2,0.003,2,29,0.02726085,0.07841108,0.0404584,False,"[2.868200031047669, 2.827269430588939, 3.9572663743338756, 2.652465665927032]"
2,0.003,2,30,0.01648765,0.08330863,0.05142456,False,"[-0.4865677112603766, 2.79480201049929, 3.07604487015502, 5.095843196059575]"
2,0.003,2,31,0.01210196,0.08523506,0.01659986,False,"[1.1514460100840351, 2.66145038884364, -2.6123481872104537, 4.562394177090688]"
2,0.003,2,32,0.01117322,0.07813207,0.02467162,False,"[1.1966832515936436, 2.58930065825037, -3.4677109887366315, 2.8489607226040983]"
2,0.003,2,33,0.01420426,0.08033046,0.0201148,False,"[1.1972057528702316, 2.635164096211478, -2.2147599989806377, 4.513373036395808]"
2,0.003,2,34,0.00723089,0.09139534,0.05378343,False,"[2.4247770435259857, 2.74727685544141, 3.158362952016644, 6.3308558052015425]"
2,0.003,2,35,0.02340799,0.07907334,0.05363604,False,"[2.7198679371736043, -0.3798233450993538, 2.1393231312758907, 4.556391539376087]"
2,0.003,2,36,0.02488202,0.07987519,0.04506239,False,"[2.8229597423571136, 2.8097810202473426, 3.3065690467559437, 3.5312329431738787]"
2,0.003,2,37,0.01778085,0.0831044,0.05124297,False,"[2.657411142242569, 2.7835224080944347, 2.5695969782241255, 5.088714645387999]"
2,0.003,2,38,0.01394007,0.07727654,0.02516519,False,"[1.944270382768384, 0.6191702317099939, 4.395369085671289, -1.8548163890307288]"
2,0.003,2,39,0.01196913,0.0792631,0.01743326,False,"[1.2041766225489872, 2.6280365325226787, -2.6284875827678746, 4.261889998627357]"
2,0.003,2,40,0.02683703,0.0776659,0.04135826,False,"[2.875830954698741, 2.7806874034173266, 3.5500193403754006, 3.06942419373274]"
2,0.006,2,1,0.10322273,0.09525656,0.1546265,False,"[2.409606132192331, 2.769460972938592, 2.1468856488912644, 4.908504537013715]"
2,0.006,2,2,0.1087966,0.10502529,0.10905555,False,"[2.14961501591527, 0.5612868929160675, 3.6843398346177967, -1.3436477102332163]"
2,0.006,2,3,0.09577055,0.09950402,0.16714307,False,"[2.430657822672143, 2.7423468450673787, 2.8198321650534015, 5.139829999640451]"
2,0.006,2,4,0.1121895,0.07250003,0.17810866,False,"[2.363983156282847, 2.713886278887514, 2.46249990459422, 3.925157282271846]"
2,0.006,2,5,0.09887588,0.091468,0.17292709,False,"[2.418179458250154, 2.7307642858759777, 2.8274288915317207, 4.798931386077757]"
2,0.006,2,6,0.10784452,0.11140732,0.09674289,False,"[4.1350252879713425, 2.658264610796766, -3.0602399174495187, 2.1943527485489835]"
2,0.006,2,7,0.10826486,0.08621515,0.15853957,False,"[2.3704009134757844, 2.7529517022570094, 1.96165446222386, 4.493998447206545]"
2,0.006,2,8,0.10439543,0.0876593,0.16476966,False,"[2.3879474961749856, 2.7464205149101195, 2.3000359171886346, 4.569436689940083]"
2,0.006,2,9,0.09874436,0.09320505,0.17021686,False,"[2.420880704468124, 2.738213935782464, 2.747315086549613, 4.845619656848024]"
2,0.006,2,10,0.12947203,0.08456988,0.13353481,False,"[2.8445699798493087, 2.9969540538389734, 3.2741760018585917, 3.258337788905449]"
2,0.006,2,11,0.12324952,0.08326324,0.12087504,False,"[1.1002534330072236, 2.724982577567486, -1.421374918900611, 3.001001906246145]"
